id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
tm1340805,The Strangers: Chapter 1,2024,movie,2,true,false,false,false,Peacock|Starz,ADS|BUY|CINEMA|FLATRATE|RENT
tm1301774,The Count of Monte Cristo,2024,movie,1,true,true,false,false,MGM+,BUY|CINEMA|FLATRATE|FREE|RENT
tm1449628,Caddo Lake,2024,movie,1,true,true,false,false,Max,CINEMA|FLATRATE
tm1045421,Kraven the Hunter,2024,movie,1,true,true,false,false,Netflix,BUY|CINEMA|FLATRATE|RENT
tm1171106,Late Night with the Devil,2024,movie,4,true,false,false,false,AMC+|Disney+|Hulu|Shudder,BUY|CINEMA|FLATRATE|FREE|RENT
tm1334668,Imaginary,2024,movie,2,true,false,false,false,Peacock|Starz,ADS|BUY|CINEMA|FLATRATE|RENT
tm1069768,A Quiet Place: Day One,2024,movie,3,true,false,false,false,Amazon Prime Video|MGM+|Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1305864,Land of Bad,2024,movie,1,true,true,false,false,Netflix,BUY|CINEMA|FLATRATE|RENT
tm1260609,Cuckoo,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|FREE|RENT
tm1389228,The Shade,2024,movie,1,true,true,false,false,Amazon Prime Video,ADS|BUY|CINEMA|FLATRATE|RENT
tm1566887,Compulsion,2024,movie,1,true,true,false,false,Amazon Prime Video,ADS|BUY|CINEMA|FLATRATE|FREE|RENT
tm1425500,Road House,2024,movie,1,true,true,false,false,Amazon Prime Video,BUY|FLATRATE
tm1438363,Custom,2024,movie,1,true,true,false,false,Amazon Prime Video,BUY|FLATRATE|RENT
ts381175,The Agency,2024,show,1,true,true,false,false,Paramount+,BUY|FLATRATE
ts383353,Teacup,2024,show,1,true,true,false,false,Peacock,BUY|FLATRATE
ts424549,Dark Matter,2024,show,1,true,true,false,false,Apple TV+,FLATRATE
ts364001,A Gentleman in Moscow,2024,show,1,true,true,false,false,Paramount+,BUY|FLATRATE
ts360283,The Walking Dead: The Ones Who Live,2024,show,1,true,true,false,false,AMC+,BUY|FLATRATE|FREE
ts320076,Disclaimer,2024,show,1,true,true,false,false,Apple TV+,FLATRATE
ts375565,Red Eye,2024,show,2,true,false,false,false,Disney+|Hulu,BUY|FLATRATE
ts435602,The Creep Tapes,2024,show,2,true,false,false,false,AMC+|Shudder,BUY|FLATRATE
ts433270,Mistletoe Murders,2024,show,1,true,true,false,false,Hallmark+,BUY|FLATRATE
ts397570,Ángela,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts411991,The Accident,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts469996,Tales from the Void,2024,show,1,true,true,false,false,Amazon Prime Video,ADS|BUY|FLATRATE
ts366203,Joko Anwar's Nightmares and Daydreams,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts453684,Cold Case: Who Killed JonBenét Ramsey,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts422802,Crooks,2024,show,1,true,true,false,false,Netflix,FLATRATE
tm1354941,It Ends with Us,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1406900,We Live in Time,2024,movie,3,true,false,false,false,Acorn TV|Cinemax|Max,BUY|CINEMA|FLATRATE|RENT
tm1549979,Mon Potongo,2024,movie,0,false,false,false,false,,
tm1529577,Our Little Secret,2024,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1455939,Find Me Falling,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1527111,Lonely Planet,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1459908,Tell Me What You Want,2024,movie,0,false,false,true,false,,ADS|BUY|RENT
tm1365695,La bête,2024,movie,1,true,true,false,false,Criterion Channel,ADS|BUY|CINEMA|FLATRATE|FREE|RENT
tm1444527,Mother of the Bride,2024,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1409414,Miller's Girl,2024,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1222114,Emmanuelle,2024,movie,0,false,false,true,false,,BUY|FLATRATE|RENT
tm1517623,Sidelined: The QB and Me,2024,movie,0,false,false,false,false,,ADS
tm1419628,Good Bad Things,2024,movie,3,true,false,false,false,Amazon Prime Video|Disney+|Hulu,ADS|BUY|FLATRATE|FREE|RENT
tm1429008,Música,2024,movie,1,true,true,false,false,Amazon Prime Video,CINEMA|FLATRATE
tm1420041,My Old Ass,2024,movie,1,true,true,false,false,Amazon Prime Video,CINEMA|FLATRATE
tm1538838,Guilty Pleasure,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1467951,Turtles All the Way Down,2024,movie,1,true,true,false,false,Max,FLATRATE
tm1235927,All We Imagine as Light,2024,movie,1,true,true,false,false,Criterion Channel,BUY|CINEMA|FLATRATE|FREE|RENT
tm1529578,The Merry Gentlemen,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1299154,Players,2024,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1568081,The Grinch That Stole Bitches,2024,movie,0,false,false,true,false,,BUY|FREE|RENT
